d-step 1 epoch 1 :  average_loss = 0.0242, train_acc = 328.4701, val_acc = 0.5000
d-step 1 epoch 2 :  average_loss = 0.0228, train_acc = 328.5000, val_acc = 0.5000
d-step 1 epoch 3 :  average_loss = 0.0228, train_acc = 328.5000, val_acc = 0.5000
d-step 2 epoch 1 :  average_loss = 0.0222, train_acc = 328.5014, val_acc = 0.5050
d-step 2 epoch 2 :  average_loss = 0.0187, train_acc = 328.6614, val_acc = 0.6150
d-step 2 epoch 3 :  average_loss = 0.0155, train_acc = 328.8447, val_acc = 0.6350
d-step 3 epoch 1 :  average_loss = 0.0239, train_acc = 328.4126, val_acc = 0.5000
d-step 3 epoch 2 :  average_loss = 0.0222, train_acc = 328.5136, val_acc = 0.5000
d-step 3 epoch 3 :  average_loss = 0.0215, train_acc = 328.5399, val_acc = 0.5150
d-step 4 epoch 1 :  average_loss = 0.0221, train_acc = 328.4963, val_acc = 0.5050
d-step 4 epoch 2 :  average_loss = 0.0212, train_acc = 328.5494, val_acc = 0.5200
d-step 4 epoch 3 :  average_loss = 0.0205, train_acc = 328.5875, val_acc = 0.5450
d-step 5 epoch 1 :  average_loss = 0.0216, train_acc = 328.5177, val_acc = 0.5150
d-step 5 epoch 2 :  average_loss = 0.0205, train_acc = 328.5875, val_acc = 0.5250
d-step 5 epoch 3 :  average_loss = 0.0197, train_acc = 328.6328, val_acc = 0.5650
d-step 6 epoch 1 :  average_loss = 0.0217, train_acc = 328.4937, val_acc = 0.5200
d-step 6 epoch 2 :  average_loss = 0.0203, train_acc = 328.5933, val_acc = 0.5250
d-step 6 epoch 3 :  average_loss = 0.0195, train_acc = 328.6447, val_acc = 0.5700
d-step 7 epoch 1 :  average_loss = 0.0213, train_acc = 328.5185, val_acc = 0.5150
d-step 7 epoch 2 :  average_loss = 0.0199, train_acc = 328.6164, val_acc = 0.5500
d-step 7 epoch 3 :  average_loss = 0.0191, train_acc = 328.6635, val_acc = 0.5850
d-step 8 epoch 1 :  average_loss = 0.0212, train_acc = 328.5195, val_acc = 0.5250
d-step 8 epoch 2 :  average_loss = 0.0197, train_acc = 328.6242, val_acc = 0.5700
d-step 8 epoch 3 :  average_loss = 0.0188, train_acc = 328.6759, val_acc = 0.5850
d-step 9 epoch 1 :  average_loss = 0.0209, train_acc = 328.5287, val_acc = 0.5450
d-step 9 epoch 2 :  average_loss = 0.0191, train_acc = 328.6500, val_acc = 0.5750
d-step 9 epoch 3 :  average_loss = 0.0182, train_acc = 328.6984, val_acc = 0.6200
d-step 10 epoch 1 :  average_loss = 0.0210, train_acc = 328.5311, val_acc = 0.5500
d-step 10 epoch 2 :  average_loss = 0.0192, train_acc = 328.6384, val_acc = 0.5750
d-step 10 epoch 3 :  average_loss = 0.0183, train_acc = 328.6900, val_acc = 0.6100
