d-step 1 epoch 1 :  average_loss = 0.0995, train_acc = 2255.1631, val_acc = 0.8400
d-step 1 epoch 2 :  average_loss = 0.0426, train_acc = 2256.8975, val_acc = 0.8200
d-step 1 epoch 3 :  average_loss = 0.0308, train_acc = 2257.1869, val_acc = 0.7850
d-step 2 epoch 1 :  average_loss = 0.1309, train_acc = 2254.8148, val_acc = 0.9100
d-step 2 epoch 2 :  average_loss = 0.0578, train_acc = 2256.5658, val_acc = 0.8900
d-step 2 epoch 3 :  average_loss = 0.0422, train_acc = 2256.9435, val_acc = 0.8850
d-step 3 epoch 1 :  average_loss = 0.1130, train_acc = 2255.1528, val_acc = 0.8800
d-step 3 epoch 2 :  average_loss = 0.0540, train_acc = 2256.6537, val_acc = 0.8850
d-step 3 epoch 3 :  average_loss = 0.0408, train_acc = 2256.9749, val_acc = 0.8850
d-step 4 epoch 1 :  average_loss = 0.1062, train_acc = 2255.2998, val_acc = 0.9200
d-step 4 epoch 2 :  average_loss = 0.0501, train_acc = 2256.7488, val_acc = 0.8950
d-step 4 epoch 3 :  average_loss = 0.0386, train_acc = 2257.0340, val_acc = 0.8700
d-step 5 epoch 1 :  average_loss = 0.1012, train_acc = 2255.3886, val_acc = 0.9150
d-step 5 epoch 2 :  average_loss = 0.0485, train_acc = 2256.7828, val_acc = 0.8950
d-step 5 epoch 3 :  average_loss = 0.0384, train_acc = 2257.0344, val_acc = 0.8800
d-step 6 epoch 1 :  average_loss = 0.0961, train_acc = 2255.5034, val_acc = 0.9050
d-step 6 epoch 2 :  average_loss = 0.0478, train_acc = 2256.8077, val_acc = 0.8900
d-step 6 epoch 3 :  average_loss = 0.0387, train_acc = 2257.0325, val_acc = 0.8750
d-step 7 epoch 1 :  average_loss = 0.1290, train_acc = 2253.9061, val_acc = 0.8950
d-step 7 epoch 2 :  average_loss = 0.0558, train_acc = 2256.1711, val_acc = 0.8850
d-step 7 epoch 3 :  average_loss = 0.0394, train_acc = 2256.9925, val_acc = 0.8750
d-step 8 epoch 1 :  average_loss = 0.0991, train_acc = 2254.8453, val_acc = 0.9000
d-step 8 epoch 2 :  average_loss = 0.0470, train_acc = 2256.7782, val_acc = 0.8750
d-step 8 epoch 3 :  average_loss = 0.0365, train_acc = 2257.0534, val_acc = 0.8700
d-step 9 epoch 1 :  average_loss = 0.0938, train_acc = 2255.2105, val_acc = 0.8800
d-step 9 epoch 2 :  average_loss = 0.0437, train_acc = 2256.8745, val_acc = 0.8950
